<CHEBI_36110> <CHEBI_36109>
<GO_0032370> <GO_0032368>
<HP_0000114> <HP_0000124>
<UBERON_0003866> <UBERON_0004301>
<GO_1904480> <GO_1904478>
<HP_0011641> <HP_0011686>
<HP_0004290> <HP_0004281>
<HP_0005072> <HP_0430046>
<HP_0008181> <HP_0003563>
<HP_0003041> <HP_0031095>
<HP_5000022> <HP_5000021>
<UBERON_0035642> <UBERON_0001021>
<HP_0006089> <HP_0040211>
<HP_0100482> <HP_0010366>
<CL_0000995> <CL_0001060>
<HP_0100585> <HP_0001009>
<HP_0005332> <HP_0032153>
<HP_0020075> <HP_0020074>
<UBERON_0000996> <UBERON_0004120>
<HP_0033579> <HP_0000824>
<HP_0032583> <HP_0000095>
